customer_id,age,gender,country,membership_tier,registration_date,newsletter_subscribed,churned
CUST_001,55,Male,Canada,Platinum,2026-02-24,True,False
CUST_002,26,Male,UK,Gold,2026-01-26,True,False
CUST_003,26,Female,USA,Silver,2025-07-03,True,False
CUST_004,29,Male,USA,Platinum,2025-09-29,True,False
CUST_005,45,Male,USA,Silver,2025-12-06,True,False
CUST_006,37,Female,USA,Silver,2025-08-22,False,False
CUST_007,49,Female,USA,Platinum,2025-10-12,True,False
CUST_008,50,Male,UK,Gold,2025-08-11,True,False
CUST_009,28,Female,Canada,Gold,2025-08-20,False,False
CUST_010,20,Female,Canada,Gold,2026-03-11,True,False
