order_id,customer_id,order_date,year,month,quarter,day_of_week,product_name,category,unit_price_usd,quantity,subtotal_usd,discount_pct,discount_amount_usd,shipping_fee_usd,tax_pct,tax_amount_usd,total_amount_usd,payment_method,device_used,delivery_days,delivery_date,order_status,returned,customer_rating,session_duration_minutes,pages_viewed_before_purchase,is_repeat_customer
ORD_01001,CUST_005,2026-05-25,2026,5,2,Thursday,Laptop,Sports,342.66,1,2561.14,20,132.71,5,9.1,120.3,2925.32,PayPal,Mobile,8,2026-05-30,Delivered,0,2.8,19,4,1
ORD_01002,CUST_015,2026-05-27,2026,5,2,Wednesday,Laptop,Clothing,565.41,1,496.2,15,71.94,5,8.13,174.75,2988.2,PayPal,Desktop,6,2026-05-25,Delivered,1,4.6,29,1,1
ORD_01003,CUST_003,2026-05-28,2026,5,2,Wednesday,Phone,Electronics,533.37,4,2155.84,15,28.16,10,9.1,116.75,262.03,Debit Card,Desktop,8,2026-05-26,Processing,0,2.2,43,8,1
ORD_01004,CUST_014,2026-05-23,2026,5,2,Monday,Phone,Home,654.52,3,1703.18,15,54.86,5,8.26,55.33,2237.4,PayPal,Mobile,5,2026-05-25,Delivered,0,3.1,23,17,1
ORD_01005,CUST_011,2026-05-20,2026,5,2,Friday,Headphones,Electronics,287.94,1,959.88,20,280.38,15,6.03,139.17,1683.16,Credit Card,Mobile,8,2026-05-29,Processing,0,3.8,22,3,0
ORD_01006,CUST_001,2026-05-20,2026,5,2,Thursday,Monitor,Electronics,610.38,4,1317.36,15,191.48,0,6.37,150.58,2146.91,Credit Card,Desktop,4,2026-06-03,Delivered,0,4.2,7,15,0
ORD_01007,CUST_014,2026-05-29,2026,5,2,Tuesday,Phone,Clothing,979.95,3,843.0,20,155.01,15,6.07,55.26,2909.09,Debit Card,Mobile,8,2026-06-02,Shipped,0,2.8,2,15,0
ORD_01008,CUST_013,2026-05-23,2026,5,2,Wednesday,Laptop,Sports,512.41,4,1873.39,15,197.13,0,6.89,81.77,2095.29,Debit Card,Desktop,2,2026-05-30,Delivered,0,4.4,6,14,1
ORD_01009,CUST_001,2026-05-26,2026,5,2,Monday,Monitor,Clothing,910.79,2,336.62,10,130.7,0,5.19,111.52,2527.2,Debit Card,Mobile,5,2026-05-25,Delivered,1,4.1,42,14,0
ORD_01010,CUST_001,2026-05-21,2026,5,2,Monday,Monitor,Clothing,462.67,1,115.04,15,219.01,15,8.09,104.35,2613.92,Credit Card,Mobile,9,2026-05-25,Processing,1,1.3,13,2,1
ORD_01011,CUST_001,2026-05-22,2026,5,2,Thursday,Laptop,Clothing,382.57,2,1920.89,20,14.31,15,6.68,84.03,2531.59,PayPal,Desktop,4,2026-05-26,Delivered,0,1.2,27,13,1
ORD_01012,CUST_005,2026-05-20,2026,5,2,Wednesday,Phone,Clothing,662.85,3,663.39,5,169.81,15,8.28,66.55,1335.67,Credit Card,Mobile,6,2026-06-02,Delivered,0,3.5,47,14,0
ORD_01013,CUST_013,2026-05-24,2026,5,2,Friday,Laptop,Home,685.48,2,305.73,15,47.59,15,6.93,29.0,745.47,PayPal,Desktop,1,2026-05-27,Processing,0,2.4,35,19,0
ORD_01014,CUST_001,2026-05-20,2026,5,2,Wednesday,Monitor,Sports,870.96,2,1250.67,5,36.05,10,8.41,20.16,1250.29,Credit Card,Mobile,9,2026-05-25,Shipped,1,1.8,50,7,0
ORD_01015,CUST_011,2026-05-27,2026,5,2,Thursday,Keyboard,Electronics,268.68,3,247.23,10,102.56,5,6.7,192.12,2686.5,PayPal,Mobile,1,2026-05-29,Shipped,1,3.3,15,3,1
ORD_01016,CUST_012,2026-05-20,2026,5,2,Thursday,Keyboard,Electronics,524.23,4,2671.19,0,27.54,0,6.3,170.96,525.15,Credit Card,Mobile,5,2026-05-31,Processing,1,2.4,27,15,0
ORD_01017,CUST_001,2026-05-20,2026,5,2,Wednesday,Headphones,Sports,593.4,2,180.09,10,28.25,15,7.48,77.43,1588.65,Debit Card,Desktop,4,2026-05-30,Processing,1,3.1,46,14,1
ORD_01018,CUST_005,2026-05-21,2026,5,2,Thursday,Laptop,Electronics,780.13,4,1778.71,15,93.42,15,8.46,191.79,776.36,Credit Card,Mobile,3,2026-05-25,Processing,1,2.8,28,11,0
ORD_01019,CUST_014,2026-05-21,2026,5,2,Wednesday,Laptop,Sports,91.42,2,1371.57,5,293.85,15,6.74,138.59,1785.79,PayPal,Mobile,6,2026-05-29,Processing,1,3.3,10,15,1
ORD_01020,CUST_013,2026-05-25,2026,5,2,Tuesday,Headphones,Electronics,994.82,4,2048.88,5,52.6,10,9.68,101.68,2603.1,Credit Card,Mobile,2,2026-05-29,Processing,1,2.6,27,13,1
ORD_01021,CUST_015,2026-05-26,2026,5,2,Wednesday,Headphones,Clothing,496.45,3,1051.64,20,5.15,15,5.2,103.67,2653.04,Credit Card,Mobile,3,2026-05-30,Shipped,1,3.8,58,18,0
